,Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex,NewColumn,TimeSecs
0,49,1,0,0,n,3107,1,32,M,980,3.107
1,49,2,150,0,n,2930,1,32,M,980,2.93
2,49,3,150,1,b,1874,1,32,M,980,1.874
3,49,4,100,1,b,3793,1,32,M,980,3.793
4,49,5,50,1,b,2184,1,32,M,980,2.184
5,49,6,50,0,n,1749,1,32,M,980,1.749
6,49,7,100,0,b,2592,0,32,M,980,2.592
7,49,8,0,1,b,2879,1,32,M,980,2.879
8,49,9,150,0,n,7281,1,32,M,980,7.281
9,49,10,150,1,b,2386,1,32,M,980,2.386
10,49,11,50,0,n,3805,1,32,M,980,3.805
11,49,12,0,0,n,1696,1,32,M,980,1.696
12,49,13,0,1,b,1440,1,32,M,980,1.44
13,49,14,100,0,n,2135,1,32,M,980,2.135
14,49,15,100,1,b,2661,1,32,M,980,2.661
15,49,16,50,1,b,1989,1,32,M,980,1.989
16,49,17,100,0,n,2144,1,32,M,980,2.144
17,49,18,150,1,b,3094,1,32,M,980,3.094
18,49,19,50,0,n,3388,1,32,M,980,3.388
19,49,20,50,1,b,1799,1,32,M,980,1.799
20,49,21,100,0,n,4289,1,32,M,980,4.289
21,49,22,0,0,n,2279,1,32,M,980,2.279
22,49,23,0,1,b,1528,1,32,M,980,1.528
23,49,24,150,0,n,3939,1,32,M,980,3.939
24,49,25,150,0,n,2659,1,32,M,980,2.659
25,49,26,50,0,n,3409,1,32,M,980,3.409
26,49,27,50,1,b,2613,1,32,M,980,2.613
27,49,28,100,1,b,2963,1,32,M,980,2.963
28,49,29,0,1,b,1258,1,32,M,980,1.258
29,49,30,0,0,n,2787,1,32,M,980,2.787
30,49,31,150,1,b,4431,1,32,M,980,4.431
31,49,32,100,0,n,4179,1,32,M,980,4.179
32,49,33,50,1,b,2364,1,32,M,980,2.364
33,49,34,100,1,b,2658,1,32,M,980,2.658
34,49,35,150,1,b,2443,1,32,M,980,2.443
35,49,36,0,0,n,2021,1,32,M,980,2.021
36,49,37,100,1,b,3099,1,32,M,980,3.099
37,49,38,150,0,n,3291,1,32,M,980,3.291
38,49,39,0,1,b,1696,1,32,M,980,1.696
39,49,40,50,0,n,3369,1,32,M,980,3.369
40,49,41,150,1,b,3324,1,32,M,980,3.324
41,49,42,0,0,n,2458,1,32,M,980,2.458
42,49,43,100,1,b,2611,1,32,M,980,2.611
43,49,44,150,0,n,4276,1,32,M,980,4.276
44,49,45,50,0,n,1798,1,32,M,980,1.798
45,49,46,100,0,n,3825,1,32,M,980,3.825
46,49,47,0,1,b,3090,1,32,M,980,3.09
47,49,48,50,1,b,2313,1,32,M,980,2.313
48,49,49,100,0,n,2706,1,32,M,980,2.706
49,49,50,150,0,n,1659,1,32,M,980,1.659
50,49,51,0,1,b,1085,1,32,M,980,1.085
51,49,52,0,0,n,1187,1,32,M,980,1.187
52,49,53,100,1,b,3695,1,32,M,980,3.695
53,49,54,50,0,n,1057,1,32,M,980,1.057
54,49,55,150,1,b,4240,1,32,M,980,4.24
55,49,56,50,1,b,1517,1,32,M,980,1.517
